,FF,Runout_Full,Matchups
13,43.85575358,3s 3h 2d 2c Ac,1102.707656
25,35.053022325,3s 3h 2d 2c Ad,1191.5777573
37,33.805847232,3s 3h 2d 2c Ah,1161.5069569
49,33.805847232,3s 3h 2d 2c As,1161.5069569
61,31.479345731,3s 3h 2d 3c Ac,285.27297702
73,29.563367083,3s 3h 2d 3c Ad,126.60503856
85,29.809554485,3s 3h 2d 3c Ah,103.10737532
97,29.809554485,3s 3h 2d 3c As,103.10737532
109,51.38461226,3s 3h 2d 4c Ac,276.81044693
121,48.165168276,3s 3h 2d 4c Ad,47.317607947
133,51.569567358,3s 3h 2d 4c Ah,31.649090965
145,51.569567358,3s 3h 2d 4c As,31.649090965
157,44.050105534,3s 3h 2d 5c Ac,170.23129579
169,44.425204701,3s 3h 2d 5c Ad,162.74852347
181,43.989295952,3s 3h 2d 5c Ah,156.1793032
193,43.989295952,3s 3h 2d 5c As,156.1793032
205,39.386180939,3s 3h 2d 6c Ac,284.94294698
217,38.757085197,3s 3h 2d 6c Ad,91.276385844
229,38.055192431,3s 3h 2d 6c Ah,63.47338135
241,38.055192431,3s 3h 2d 6c As,63.47338875
253,37.516773971,3s 3h 2d 7c Ac,0.036412515986
265,35.529359943,3s 3h 2d 7c Ad,0.046388302112
301,33.936112131,3s 3h 2d 8c Ac,18.1371168
313,31.705109496,3s 3h 2d 8c Ad,2.3589232794
325,35.297261847,3s 3h 2d 8c Ah,2.5354034773
337,35.297261847,3s 3h 2d 8c As,2.5354034773
349,32.284850223,3s 3h 2d 9c Ac,13.753081151
361,33.06836791,3s 3h 2d 9c Ad,2.8093447444
373,33.27849395,3s 3h 2d 9c Ah,3.0277110432
385,33.27849395,3s 3h 2d 9c As,3.0277108088
397,36.060542247,3s 3h 2d Tc Ac,9.2999569538
409,35.315029014,3s 3h 2d Tc Ad,82.194993614
421,36.134565678,3s 3h 2d Tc Ah,71.779285139
433,36.134565678,3s 3h 2d Tc As,71.779294599
445,36.486636408,3s 3h 2d Jc Ac,90.292801076
457,33.59039605,3s 3h 2d Jc Ad,70.053786521
469,33.654850252,3s 3h 2d Jc Ah,66.978526984
481,33.654850252,3s 3h 2d Jc As,66.978526984
493,41.271839195,3s 3h 2d Qc Ac,0.42724952453
505,39.16505033,3s 3h 2d Qc Ad,0.94899212451
517,40.891960187,3s 3h 2d Qc Ah,0.729991184
529,40.891960187,3s 3h 2d Qc As,0.72999108741
638,34.340630104,3s 3h 2d 3d Ac,353.12713937
649,37.173945345,3s 3h 2d 3d Ad,171.83173268
661,28.633725033,3s 3h 2d 3d Ah,77.704418969
673,28.633725033,3s 3h 2d 3d As,77.704418969
686,51.491000145,3s 3h 2d 4d Ac,381.92970241
697,46.443377436,3s 3h 2d 4d Ad,610.63027543
709,55.924977667,3s 3h 2d 4d Ah,658.04507655
721,55.924977667,3s 3h 2d 4d As,658.04507655
734,47.068978689,3s 3h 2d 5d Ac,217.42302899
745,42.738108595,3s 3h 2d 5d Ad,272.99282784
757,49.249572395,3s 3h 2d 5d Ah,349.61111367
769,49.249572395,3s 3h 2d 5d As,349.61111367
782,39.351786873,3s 3h 2d 6d Ac,581.89691407
793,33.8155761,3s 3h 2d 6d Ad,450.25111716
805,40.643139783,3s 3h 2d 6d Ah,188.6844968
817,40.643139783,3s 3h 2d 6d As,188.68449684
830,38.492985545,3s 3h 2d 7d Ac,48.557123948
841,38.480087599,3s 3h 2d 7d Ad,74.511136007
853,39.217696461,3s 3h 2d 7d Ah,1.3839437288
865,39.217696461,3s 3h 2d 7d As,1.3839437288
878,38.038275426,3s 3h 2d 8d Ac,36.316819664
889,37.844569052,3s 3h 2d 8d Ad,99.1564939
901,33.529541026,3s 3h 2d 8d Ah,7.2314304941
913,33.529541026,3s 3h 2d 8d As,7.2314304941
926,35.900097075,3s 3h 2d 9d Ac,92.132624919
937,37.03314255,3s 3h 2d 9d Ad,13.764528056
949,36.81925572,3s 3h 2d 9d Ah,3.9049976141
961,36.81925572,3s 3h 2d 9d As,3.9049976141
974,39.876222521,3s 3h 2d Td Ac,139.36749499
985,29.09376258,3s 3h 2d Td Ad,142.59131431
997,36.433820846,3s 3h 2d Td Ah,107.20589415
1009,36.433820846,3s 3h 2d Td As,107.20589477
1022,33.284714277,3s 3h 2d Jd Ac,343.12913645
1033,30.402586374,3s 3h 2d Jd Ad,68.418060084
1045,32.041897009,3s 3h 2d Jd Ah,287.58374464
1057,32.041897009,3s 3h 2d Jd As,287.58374464
1070,32.764201687,3s 3h 2d Qd Ac,0.029463312015
1081,29.375679989,3s 3h 2d Qd Ad,0.064718634796
1093,40.25371569,3s 3h 2d Qd Ah,2.2794767363
1105,40.25371569,3s 3h 2d Qd As,2.2794767363
1118,35.531557023,3s 3h 2d Kd Ac,16.146077582
1129,25.341757757,3s 3h 2d Kd Ad,0.003785377894
1141,38.596763143,3s 3h 2d Kd Ah,16.154388666
1153,38.596763143,3s 3h 2d Kd As,16.154388822
1214,35.888459322,3s 3h 2d 2h Ac,1426.2745394
1226,31.729813915,3s 3h 2d 2h Ad,1122.3188835
1237,41.022265196,3s 3h 2d 2h Ah,544.97402054
1249,34.022793889,3s 3h 2d 2h As,1007.111196
1262,53.358163947,3s 3h 2d 4h Ac,414.70223372
1274,53.591674549,3s 3h 2d 4h Ad,609.48745246
1285,49.330141595,3s 3h 2d 4h Ah,746.91856164
1297,47.730836384,3s 3h 2d 4h As,550.15177172
1310,49.88995668,3s 3h 2d 5h Ac,290.60420813
1322,51.427764988,3s 3h 2d 5h Ad,314.0740486
1333,47.85648221,3s 3h 2d 5h Ah,376.34367858
1345,50.756920995,3s 3h 2d 5h As,464.80926484
1358,39.756898576,3s 3h 2d 6h Ac,621.21379509
1370,39.754486944,3s 3h 2d 6h Ad,242.45625101
1381,35.945836101,3s 3h 2d 6h Ah,535.36243942
1393,40.584557901,3s 3h 2d 6h As,296.81710527
1406,44.035116852,3s 3h 2d 7h Ac,28.445322632
1418,40.414709941,3s 3h 2d 7h Ad,53.278251889
1429,40.981004129,3s 3h 2d 7h Ah,83.065716671
1441,41.752491509,3s 3h 2d 7h As,21.201282193
1454,38.632812876,3s 3h 2d 8h Ac,63.999959956
1466,35.664569458,3s 3h 2d 8h Ad,5.4337117579
1477,39.355730234,3s 3h 2d 8h Ah,76.294807036
1489,34.954909298,3s 3h 2d 8h As,2.2765247692
1502,36.788189177,3s 3h 2d 9h Ac,79.7666391
1514,34.351866302,3s 3h 2d 9h Ad,0.49704906031
1525,39.332059417,3s 3h 2d 9h Ah,48.12020314
1537,38.865113954,3s 3h 2d 9h As,0.39490095156
1550,40.284230383,3s 3h 2d Th Ac,151.5854584
1562,35.623538942,3s 3h 2d Th Ad,114.02988782
1573,34.670922236,3s 3h 2d Th Ah,172.17586864
1585,35.80295886,3s 3h 2d Th As,109.74473552
1598,33.806574,3s 3h 2d Jh Ac,352.05043801
1610,31.942793433,3s 3h 2d Jh Ad,318.5911378
1621,30.201238101,3s 3h 2d Jh Ah,274.39321434
1633,31.840948784,3s 3h 2d Jh As,297.68930457
1646,39.145249246,3s 3h 2d Qh Ac,0.63755600947
1658,44.721404999,3s 3h 2d Qh Ad,6.3319781521
1669,38.024158681,3s 3h 2d Qh Ah,1.6907013419
1681,43.825008332,3s 3h 2d Qh As,11.701191562
1694,36.379262323,3s 3h 2d Kh Ac,19.941699903
1706,39.039254115,3s 3h 2d Kh Ad,19.657977801
1717,22.175839778,3s 3h 2d Kh Ah,0.3564487913
1729,45.371414374,3s 3h 2d Kh As,18.657090536
1790,35.888459322,3s 3h 2d 2s Ac,1426.2745394
1802,31.729813915,3s 3h 2d 2s Ad,1122.3188835
1814,34.022793889,3s 3h 2d 2s Ah,1007.1111975
1825,41.022265196,3s 3h 2d 2s As,544.97397409
1838,53.358163947,3s 3h 2d 4s Ac,414.70223372
1850,53.591674549,3s 3h 2d 4s Ad,609.48745246
1862,47.730836384,3s 3h 2d 4s Ah,550.15177172
1873,49.330141595,3s 3h 2d 4s As,746.91856164
1886,49.88995668,3s 3h 2d 5s Ac,290.60420813
1898,51.427764988,3s 3h 2d 5s Ad,314.0740489
1910,50.756920995,3s 3h 2d 5s Ah,464.80926484
1921,47.85648221,3s 3h 2d 5s As,376.34372964
1934,39.756898576,3s 3h 2d 6s Ac,621.21395784
1946,39.754486944,3s 3h 2d 6s Ad,242.45625101
1958,40.584557901,3s 3h 2d 6s Ah,296.81710777
1969,35.945836101,3s 3h 2d 6s As,535.36247949
1982,44.035116852,3s 3h 2d 7s Ac,28.445322632
1994,40.414709941,3s 3h 2d 7s Ad,53.278259071
2006,41.752491509,3s 3h 2d 7s Ah,21.201282193
2017,40.981004129,3s 3h 2d 7s As,83.065716671
2030,38.632812876,3s 3h 2d 8s Ac,63.999959956
2042,35.664569458,3s 3h 2d 8s Ad,5.4337117579
2054,34.954909298,3s 3h 2d 8s Ah,2.2765247692
2065,39.355730234,3s 3h 2d 8s As,76.294806411
2078,36.788189177,3s 3h 2d 9s Ac,79.76664577
2090,34.351866302,3s 3h 2d 9s Ad,0.49704906031
2102,38.865113954,3s 3h 2d 9s Ah,0.39490095156
2113,39.332059417,3s 3h 2d 9s As,48.12019801
2126,40.284230383,3s 3h 2d Ts Ac,151.5854584
2138,35.623538942,3s 3h 2d Ts Ad,114.02988782
2150,35.80295886,3s 3h 2d Ts Ah,109.74473552
2161,34.670922236,3s 3h 2d Ts As,172.17586864
2174,33.806574,3s 3h 2d Js Ac,352.05043154
2186,31.942793433,3s 3h 2d Js Ad,318.59113367
2198,31.840948784,3s 3h 2d Js Ah,297.6892667
2209,30.201238101,3s 3h 2d Js As,274.39321434
2222,39.145249246,3s 3h 2d Qs Ac,0.63755600947
2234,44.721404999,3s 3h 2d Qs Ad,6.3319785523
2246,43.825008332,3s 3h 2d Qs Ah,11.701191562
2257,38.024158681,3s 3h 2d Qs As,1.6907013419
2270,36.379262323,3s 3h 2d Ks Ac,19.941698413
2282,39.039254115,3s 3h 2d Ks Ad,19.657977801
2294,45.371414374,3s 3h 2d Ks Ah,18.657090652
2305,22.175839778,3s 3h 2d Ks As,0.3564487913
2366,54.185228452,3s 3h 3d 2c Ac,28.333550811
2378,55.110403186,3s 3h 3d 2c Ad,12.912039694
2390,55.110403186,3s 3h 3d 2c Ah,12.91203994
2402,55.110403186,3s 3h 3d 2c As,12.912039694
2462,53.870378571,3s 3h 3d 4c Ac,29.991536761
2474,54.012820507,3s 3h 3d 4c Ad,13.939975331
2486,54.012820507,3s 3h 3d 4c Ah,13.939975331
2498,54.012820507,3s 3h 3d 4c As,13.9399753
2510,53.497582845,3s 3h 3d 5c Ac,29.90341707
2522,53.328482649,3s 3h 3d 5c Ad,16.236506365
2534,53.328482649,3s 3h 3d 5c Ah,16.236506119
2546,53.328482649,3s 3h 3d 5c As,16.236506365
2558,47.120861798,3s 3h 3d 6c Ac,2.3097943508
2570,47.886571965,3s 3h 3d 6c Ad,5.7285280475
2582,47.886571965,3s 3h 3d 6c Ah,5.7285280475
2594,47.886571965,3s 3h 3d 6c As,5.7285280475
2606,46.622719526,3s 3h 3d 7c Ac,28.527909458
2618,46.354941846,3s 3h 3d 7c Ad,20.833745204
2630,46.354941846,3s 3h 3d 7c Ah,20.833746852
2642,46.354941846,3s 3h 3d 7c As,20.83374638
2654,38.949695192,3s 3h 3d 8c Ac,20.131846761
2666,40.474596729,3s 3h 3d 8c Ad,9.4112967168
2678,40.474596729,3s 3h 3d 8c Ah,9.4112946563
2690,40.474596729,3s 3h 3d 8c As,9.4112945354
2702,49.764138624,3s 3h 3d 9c Ac,26.865303533
2714,47.436038448,3s 3h 3d 9c Ad,17.206790457
2726,47.436038448,3s 3h 3d 9c Ah,17.206790457
2738,47.436038448,3s 3h 3d 9c As,17.206790457
2750,58.124944206,3s 3h 3d Tc Ac,43.386780751
2762,53.501002114,3s 3h 3d Tc Ad,30.829786023
2774,53.501002114,3s 3h 3d Tc Ah,30.829793099
2786,53.501002114,3s 3h 3d Tc As,30.829788921
2798,60.584192753,3s 3h 3d Jc Ac,99.955096544
2810,59.455258471,3s 3h 3d Jc Ad,83.15794017
2822,59.455258471,3s 3h 3d Jc Ah,83.157939493
2834,59.455258471,3s 3h 3d Jc As,83.157939801
2846,25.737089255,3s 3h 3d Qc Ac,0.14912654912
2858,22.318682474,3s 3h 3d Qc Ad,0.0021589756692
2870,22.318682474,3s 3h 3d Qc Ah,0.002158975803
2882,22.318682474,3s 3h 3d Qc As,0.0021589756692
2991,53.528384472,3s 3h 3d 2d Ac,32.024675562
3002,54.835199289,3s 3h 3d 2d Ad,22.051757474
3014,54.362524133,3s 3h 3d 2d Ah,15.457262555
3026,54.362524133,3s 3h 3d 2d As,15.457262555
3039,51.692414647,3s 3h 3d 4d Ac,30.863238476
3050,51.944033711,3s 3h 3d 4d Ad,22.94270022
3062,51.783237811,3s 3h 3d 4d Ah,13.437906914
3074,51.783237811,3s 3h 3d 4d As,13.437905315
3087,51.528570791,3s 3h 3d 5d Ac,29.929609122
3098,51.94141273,3s 3h 3d 5d Ad,20.395164218
3110,51.031026066,3s 3h 3d 5d Ah,10.273048008
3122,51.031026066,3s 3h 3d 5d As,10.273046537
3135,48.15426626,3s 3h 3d 6d Ac,25.474623412
3146,48.543355537,3s 3h 3d 6d Ad,11.891560254
3158,49.183107725,3s 3h 3d 6d Ah,13.793087725
3170,49.183107725,3s 3h 3d 6d As,13.793087725
3183,48.777072092,3s 3h 3d 7d Ac,31.581442636
3194,49.469846749,3s 3h 3d 7d Ad,20.518736794
3206,48.799452637,3s 3h 3d 7d Ah,18.844097226
3218,48.799452637,3s 3h 3d 7d As,18.844094
3231,42.59764822,3s 3h 3d 8d Ac,19.583828481
3242,43.529458998,3s 3h 3d 8d Ad,14.083668791
3254,43.578659896,3s 3h 3d 8d Ah,12.631187439
3266,43.578659896,3s 3h 3d 8d As,12.631186916
3279,51.474349538,3s 3h 3d 9d Ac,22.03698588
3290,48.476855448,3s 3h 3d 9d Ad,16.454327448
3302,50.589471457,3s 3h 3d 9d Ah,15.665189642
3314,50.589471457,3s 3h 3d 9d As,15.665189163
